date,day-stars,total-stars
01-09-2015,40,23516
02-09-2015,36,23552
03-09-2015,45,23597
04-09-2015,31,23628
05-09-2015,28,23656
06-09-2015,37,23693
07-09-2015,42,23735
08-09-2015,57,23792
09-09-2015,42,23834
10-09-2015,48,23882
11-09-2015,48,23930
12-09-2015,23,23953
13-09-2015,22,23975
14-09-2015,52,24027
15-09-2015,117,24144
16-09-2015,77,24221
17-09-2015,60,24281
18-09-2015,60,24341
19-09-2015,28,24369
20-09-2015,29,24398
21-09-2015,58,24456
22-09-2015,59,24515
23-09-2015,51,24566
24-09-2015,74,24640
25-09-2015,68,24708
26-09-2015,27,24735
27-09-2015,36,24771
28-09-2015,55,24826
29-09-2015,45,24871
30-09-2015,54,24925
01-10-2015,39,24964
02-10-2015,48,25012
03-10-2015,29,25041
04-10-2015,31,25072
05-10-2015,45,25117
06-10-2015,54,25171
07-10-2015,88,25259
08-10-2015,83,25342
09-10-2015,58,25400
10-10-2015,37,25437
11-10-2015,31,25468
12-10-2015,49,25517
13-10-2015,83,25600
14-10-2015,59,25659
15-10-2015,49,25708
16-10-2015,57,25765
17-10-2015,37,25802
18-10-2015,24,25826
19-10-2015,60,25886
20-10-2015,53,25939
21-10-2015,72,26011
22-10-2015,67,26078
23-10-2015,34,26112
24-10-2015,26,26138
25-10-2015,26,26164
26-10-2015,57,26221
27-10-2015,51,26272
28-10-2015,53,26325
29-10-2015,72,26397
30-10-2015,66,26463
31-10-2015,28,26491
01-11-2015,29,26520
02-11-2015,47,26567
03-11-2015,62,26629
04-11-2015,54,26683
05-11-2015,62,26745
06-11-2015,48,26793
07-11-2015,33,26826
08-11-2015,44,26870
09-11-2015,60,26930
10-11-2015,62,26992
11-11-2015,40,27032
12-11-2015,62,27094
13-11-2015,60,27154
14-11-2015,37,27191
15-11-2015,33,27224
16-11-2015,45,27269
17-11-2015,51,27320
18-11-2015,53,27373
19-11-2015,49,27422
20-11-2015,57,27479
21-11-2015,33,27512
22-11-2015,36,27548
23-11-2015,53,27601
24-11-2015,65,27666
25-11-2015,59,27725
26-11-2015,70,27795
27-11-2015,61,27856
28-11-2015,34,27890
29-11-2015,39,27929
