metric,framework,model,date,mean,lo80,hi80,lo95,hi95,validation_rmse,is_best
github-stars,React,ETS,2026-02-01,809.3007830025043,430.5581022109955,1520.4344385392997,308.17223561808476,2122.694443719529,183.1938697072839,TRUE
github-stars,React,ETS,2026-03-01,809.3007830025043,408.4377293532081,1602.6317902888131,284.267478676089,2300.6551412788385,183.1938697072839,TRUE
github-stars,React,ETS,2026-04-01,809.3007830025043,388.92045347387716,1682.900788185916,263.7351139166908,2479.167248010373,183.1938697072839,TRUE
github-stars,React,ETS,2026-05-01,809.3007830025043,371.47275415471813,1761.7795633656942,245.8342428823929,2659.033515881791,183.1938697072839,TRUE
github-stars,React,ETS,2026-06-01,809.3007830025043,355.71435644616685,1839.6530241054645,230.04319032154075,2840.8381776182405,183.1938697072839,TRUE
github-stars,React,ETS,2026-07-01,809.3007830025043,341.36352615034303,1916.8075606282387,215.9800492200459,3025.0264079330486,183.1938697072839,TRUE
github-stars,React,ETS,2026-08-01,809.3007830025043,328.2050775600211,1993.4630374504527,203.35651259971795,3211.9504980375027,183.1938697072839,TRUE
github-stars,React,ETS,2026-09-01,809.3007830025043,316.07055282217306,2069.7926141053986,191.9494519747201,3401.8982835385154,183.1938697072839,TRUE
github-stars,React,ETS,2026-10-01,809.3007830025043,304.8253621592225,2145.935605009212,181.58259331554737,3595.1114748749796,183.1938697072839,TRUE
github-stars,React,ETS,2026-11-01,809.3007830025043,294.36011878295193,2222.0061446344785,172.11424716552378,3791.7979336482535,183.1938697072839,TRUE
github-stars,React,ETS,2026-12-01,809.3007830025043,284.5846129009702,2298.099213591563,163.42882863361874,3992.14015912309,183.1938697072839,TRUE
github-stars,React,ETS,2027-01-01,809.3007830025043,275.42350724358374,2374.2949431897932,155.43083726289532,4196.301314900088,183.1938697072839,TRUE
github-stars,React,ETS,2027-02-01,809.3007830025043,266.8131906842633,2450.6617619053395,148.04048349500684,4404.429609039537,183.1938697072839,TRUE
github-stars,React,ETS,2027-03-01,809.3007830025043,258.6994318957429,2527.2587418137305,141.1904470291597,4616.661542338508,183.1938697072839,TRUE
github-stars,React,ETS,2027-04-01,809.3007830025043,251.03559863183418,2604.1373793969246,134.82343150335407,4833.124360333642,183.1938697072839,TRUE
github-stars,React,ETS,2027-05-01,809.3007830025043,243.78128513481496,2681.34296822509,128.89029095159316,5053.937933576307,183.1938697072839,TRUE
github-stars,React,ETS,2027-06-01,809.3007830025043,236.90123939134486,2758.915671790145,123.34857429844908,5279.216219918983,183.1938697072839,TRUE
github-stars,React,ETS,2027-07-01,809.3007830025043,230.36451426797353,2836.891372459961,118.1613804647797,5509.06841623942,183.1938697072839,TRUE
github-stars,React,ETS,2027-08-01,809.3007830025043,224.14378824492186,2915.302350834594,113.29644763805926,5743.599876049305,183.1938697072839,TRUE
github-stars,React,ETS,2027-09-01,809.3007830025043,218.21481632143204,2994.1778349312212,108.72542140585601,5982.912848289409,183.1938697072839,TRUE
github-stars,React,PROPHET,2025-10-01,1105.9500231757108,797.7734780642743,1556.340677034139,665.261784216643,1824.5181819567556,235.12474132790499,FALSE
github-stars,React,PROPHET,2025-11-01,1057.2655620451267,755.6353875220186,1498.5021013380253,643.5097403569574,1745.7606157493742,235.12474132790499,FALSE
github-stars,React,PROPHET,2025-12-01,1189.5802152833485,872.4983297303345,1657.306964822839,718.9474761685622,1985.9277093978596,235.12474132790499,FALSE
github-stars,React,PROPHET,2026-01-01,1258.6410714146436,871.8890923214371,1751.6167341110813,745.0957876765467,2089.9290672271113,235.12474132790499,FALSE
github-stars,React,PROPHET,2026-02-01,1139.3579171823637,812.5775064750625,1582.2962449694567,677.9476145519614,1931.2470526400828,235.12474132790499,FALSE
github-stars,React,PROPHET,2026-03-01,1381.5560105229217,983.633268267677,1920.9262015034092,804.9927801321738,2301.777812366511,235.12474132790499,FALSE
github-stars,React,PROPHET,2026-04-01,1204.5672381483546,838.4501400641979,1701.6468533870063,700.3781040707082,2113.0326971731915,235.12474132790499,FALSE
github-stars,React,PROPHET,2026-05-01,1270.0433519784372,907.8861419587432,1789.1946502144415,772.687700459117,2202.761598436937,235.12474132790499,FALSE
github-stars,React,PROPHET,2026-06-01,1172.0671105847284,844.1577217937453,1647.2119448018448,677.5818081241131,2007.3092247328875,235.12474132790499,FALSE
github-stars,React,PROPHET,2026-07-01,1048.4069264500229,752.2219519069855,1459.941786202764,629.0703203950286,1741.4332135434838,235.12474132790499,FALSE
github-stars,React,PROPHET,2026-08-01,982.4280587292271,692.9335247199613,1374.6776653269167,590.4591828242945,1616.8959951147447,235.12474132790499,FALSE
github-stars,React,PROPHET,2026-09-01,958.7268989010881,694.556498293567,1357.2402769693256,575.1949694900057,1559.734023620781,235.12474132790499,FALSE
github-stars,React,PROPHET,2026-10-01,1035.0101193265161,730.0583987497387,1454.4601153694864,604.1062067419612,1711.417016426595,235.12474132790499,FALSE
github-stars,React,PROPHET,2026-11-01,987.112173329872,709.6050278985521,1375.6087141413614,554.2084955119088,1724.7214045341536,235.12474132790499,FALSE
github-stars,React,PROPHET,2026-12-01,1031.6745043021353,737.3890529292294,1443.0562426953793,607.2723274514673,1726.9313367760976,235.12474132790499,FALSE
github-stars,React,PROPHET,2027-01-01,1136.8963440356465,801.6258752748038,1614.6447829729725,679.4839603250149,1938.325580085576,235.12474132790499,FALSE
github-stars,React,PROPHET,2027-02-01,1047.8660860597686,744.2146068514523,1491.5477528350805,627.682851051623,1714.7433906734643,235.12474132790499,FALSE
github-stars,React,PROPHET,2027-03-01,1311.3441022997322,935.7960048159723,1841.4912950282414,771.6925769213916,2130.1266851602204,235.12474132790499,FALSE
github-stars,React,PROPHET,2027-04-01,1104.0891280627882,761.7097774642599,1581.5145959274887,661.9136043806208,1924.0565225965315,235.12474132790499,FALSE
github-stars,React,PROPHET,2027-05-01,1120.7315591536255,783.8163899747348,1599.3855643057182,647.7818709080942,1951.709180374528,235.12474132790499,FALSE
github-stars,React,PROPHET,2027-06-01,1076.1976210921139,751.1747050624533,1488.8246135862667,615.7298979249242,1896.7742782535158,235.12474132790499,FALSE
github-stars,React,PROPHET,2027-07-01,959.3032815120412,668.6053633115098,1373.8874953727739,563.0634883851764,1589.9990138959665,235.12474132790499,FALSE
github-stars,React,PROPHET,2027-08-01,894.3387383528388,615.1201565794107,1268.6783715204924,489.47936900195657,1573.7778974714759,235.12474132790499,FALSE
github-stars,React,PROPHET,2027-09-01,881.5264778380078,628.9010496242211,1250.5108399381959,508.46392700749294,1481.9853407563228,235.12474132790499,FALSE
github-stars,Vue,ARIMA,2025-10-01,242.10142439520322,74.23230502638499,784.54422228921635,39.43460686072625,1460.5772757859643,142.62494588803526,FALSE
github-stars,Vue,ARIMA,2025-11-01,253.14379460304957,47.38413394632008,1333.9224852695636,19.10752733149015,3211.1835405432926,142.62494588803526,FALSE
github-stars,Vue,ARIMA,2025-12-01,260.38370915495096,33.27686119412314,1992.2234467056132,10.693689693846716,5841.590764790954,142.62494588803526,FALSE
github-stars,Vue,ARIMA,2026-01-01,259.29220665861635,23.92842812880133,2716.8622132589985,6.200996635290694,9407.70219480067,142.62494588803526,FALSE
github-stars,Vue,ARIMA,2026-02-01,263.09386169272506,18.175336331326463,3636.253948439685,3.7839287553211314,14578.140148397624,142.62494588803526,FALSE
github-stars,Vue,ARIMA,2026-03-01,239.68701730157952,12.605794279869269,4256.762472804892,1.9731456849051414,19483.49434941805,142.62494588803526,FALSE
github-stars,Vue,ARIMA,2026-04-01,257.471952408703,10.606795308429453,5754.916978517537,1.2453417894739514,29752.93345242945,142.62494588803526,FALSE
github-stars,Vue,ARIMA,2026-05-01,246.9690209508448,7.9876127315368395,6840.4869652273355,0.5522288198041918,39612.12569823119,142.62494588803526,FALSE
github-stars,Vue,ARIMA,2026-06-01,263.52445959893475,6.840006634100042,8924.144198445021,0.21720296058696453,57485.87112325598,142.62494588803526,FALSE
github-stars,Vue,ARIMA,2026-07-01,247.22508138920762,5.081836669649272,10130.099267786161,0,72170.93636163691,142.62494588803526,FALSE
github-stars,Vue,ARIMA,2026-08-01,265.1535211180797,4.441260046860953,13017.619987555663,0,102068.64800393816,142.62494588803526,FALSE
github-stars,Vue,ARIMA,2026-09-01,296.56440328311237,4.117125109332383,17302.57812431655,0,148672.94980279647,142.62494588803526,FALSE
github-stars,Vue,ARIMA,2026-10-01,296.56440328311237,3.6432391681314145,19068.5699478405,0,172496.1117431059,142.62494588803526,FALSE
github-stars,Vue,ARIMA,2026-11-01,296.56440328311237,3.2225977010329374,20968.218564102106,0,199458.637591287,142.62494588803526,FALSE
github-stars,Vue,ARIMA,2026-12-01,296.56440328311237,2.8480335945057034,23009.343316040817,0,229905.386044852,142.62494588803526,FALSE
github-stars,Vue,ARIMA,2027-01-01,296.56440328311237,2.5135162594931004,25200.128317536004,0,264213.29511070665,142.62494588803526,FALSE
github-stars,Vue,ARIMA,2027-02-01,296.56440328311237,2.2139431679445596,27549.136848829974,0,302793.9492115556,142.62494588803526,FALSE
github-stars,Vue,ARIMA,2027-03-01,296.56440328311237,1.9449748394274349,30065.32617562524,0,346096.325529919,142.62494588803526,FALSE
github-stars,Vue,ARIMA,2027-04-01,296.56440328311237,1.702903150814408,32758.062815312307,0,394609.7306606699,142.62494588803526,FALSE
github-stars,Vue,ARIMA,2027-05-01,296.56440328311237,1.484545444732169,35637.138271517804,0,448866.9392517718,142.62494588803526,FALSE
github-stars,Vue,ARIMA,2027-06-01,296.56440328311237,1.2871587863156013,38712.78525662915,0,509447.5469525064,142.62494588803526,FALSE
github-stars,Vue,ARIMA,2027-07-01,296.56440328311237,1.1083700829817265,41995.69442093965,0,576981.5506602535,142.62494588803526,FALSE
github-stars,Vue,ARIMA,2027-08-01,296.56440328311237,0.9461187874501934,45497.03160640878,0,652153.1697620729,142.62494588803526,FALSE
github-stars,Vue,ARIMA,2027-09-01,296.56440328311237,0.7986096523993139,49228.45564265028,0,735704.9228074022,142.62494588803526,FALSE
github-stars,Vue,ETS,2025-10-01,264.4017137821893,78.98889936915208,879.5980609065331,41.39314926616281,1660.543690379829,132.83171586425595,TRUE
